x1,x2,t
-0.079972763,-0.014206277,-1
0.413431226,-0.510561844,-1
0.282152264,0.87200607,-1
1.343237257,1.689798605,-1
0.31379151,0.369838349,-1
1.419063249,0.212528675,-1
0.014060807,-0.044107784,-1
-1.260546346,0.484822374,-1
0.33946195,-1.095417176,-1
0.432651458,-1.193412165,-1
-0.447386492,1.035503946,-1
2.185934322,0.295774704,-1
-0.740975529,0.552145078,-1
0.023346369,-0.142417106,-1
0.607518352,1.02254053,-1
0.424472866,0.128715987,-1
-0.121600091,0.525066262,-1
-1.262686251,-1.919720955,-1
-0.918991381,0.967441984,-1
-0.08006098,-0.527834874,-1
3.920027237,3.985793723,1
4.413431226,3.489438156,1
4.282152264,4.87200607,1
5.343237257,5.689798605,1
4.31379151,4.369838349,1
5.419063249,4.212528675,1
4.014060807,3.955892216,1
2.739453654,4.484822374,1
4.33946195,2.904582824,1
4.432651458,2.806587835,1
3.552613508,5.035503946,1
6.185934322,4.295774704,1
3.259024471,4.552145078,1
4.023346369,3.857582894,1
4.607518352,5.02254053,1
4.424472866,4.128715987,1
3.878399909,4.525066262,1
2.737313749,2.080279045,1
3.081008619,4.967441984,1
3.91993902,3.472165126,1
